,betweenness
Zing MP3,0.16779378386413984
Only C,0.11113436931287292
Karik,0.060004636295103074
Han Sara,0.04311275513677919
JustaTee,0.03327572011142279
GREY D,0.03285913913031358
MIN,0.030870532710843942
Bảo Anh,0.026372565011592738
Bích Phương,0.025685945138820162
Đức Phúc,0.025407254769197155
