,eigenvector
Zing MP3,0.321530315949549
Miu Lê,0.23866203648827708
Karik,0.2335866611386289
Hoàng Dũng,0.18789572266412646
DTAP,0.1830763556164569
Bùi Công Nam,0.1799162871600583
Ricky Star,0.17292366466319542
Đạt G,0.1706152638293097
Yuno Bigboi,0.16195512206964788
Rhymastic,0.161662547046837
