,closeness
Zing MP3,0.2311902736778906
Ricky Star,0.2073478908831724
Miu Lê,0.1985220828321017
DTAP,0.19826369282891024
Bùi Công Nam,0.19644520530701642
Karik,0.19596600451237509
Đạt G,0.19419319899447934
Yuno Bigboi,0.19184907164446804
Hứa Kim Tuyền,0.18523358641534846
Hoàng Dũng,0.18411322198138466
