,degree
Zing MP3,0.17391304347826086
GREY D,0.08695652173913043
Only C,0.08300395256916995
JustaTee,0.07905138339920947
Karik,0.07509881422924901
Đức Phúc,0.07114624505928853
Yeah1,0.07114624505928853
HIEUTHUHAI,0.06719367588932806
Bùi Công Nam,0.06719367588932806
BigDaddy,0.06324110671936758
